cluster,return_6m,volatility,avg_volume,up_ratio
0,-0.09882316496137966,0.024352096312589406,5318600.962114675,0.491122622484084
1,0.10352855190429788,0.018906789551964686,4232875.390057742,0.5538528457188744
2,0.14228906080543702,0.039682432159784266,264591833.147541,0.5537190082644629
3,0.37370403295113974,0.03660165420115156,19998251.313257307,0.5558749550844412
