company_name,ticker,return_6m,volatility,avg_volume,up_ratio,cluster
Apple Inc.,AAPL,-0.1576963815060226,0.025793451310726245,58058990.55737705,0.5041322314049587,0
Amazon,AMZN,-0.003768958314412929,0.02423285602841214,45282525.25409836,0.4793388429752066,0
Alphabet Inc. (Class A),GOOGL,-0.06968273240774969,0.02280428486169275,36843725.13934426,0.4793388429752066,0
Alphabet Inc. (Class C),GOOG,-0.06945391596285999,0.022543422728154745,24155920.639344264,0.4793388429752066,0
Home Depot (The),HD,-0.05617051948720586,0.0157117435929371,3593206.155737705,0.47107438016528924,0
UnitedHealth Group,UNH,-0.37458652585491414,0.03516506148779693,11165179.155737706,0.5041322314049587,0
Salesforce,CRM,-0.1753160345974718,0.02170806295311642,7323492.75409836,0.5041322314049587,0
McDonald's,MCD,-0.0011623534238144329,0.013311822054234089,3614168.319672131,0.48760330578512395,0
Merck & Co.,MRK,-0.20177473026116777,0.020092609469814053,16358729.43442623,0.49586776859504134,0
PepsiCo,PEP,-0.12096398375607498,0.01476427934017557,8399347.327868853,0.4793388429752066,0
Thermo Fisher Scientific,TMO,-0.22410394779646758,0.02129998522597513,2403930.606557377,0.45454545454545453,0
ServiceNow,NOW,-0.024906576626135823,0.0302944770198389,1717843.713114754,0.5206611570247934,0
Applied Materials,AMAT,0.11716604625617855,0.031120670648059793,7487614.180327869,0.512396694214876,0
NextEra Energy,NEE,-0.03058232090490154,0.02036139194636869,12478146.581967212,0.512396694214876,0
TJX Companies,TJX,0.019314898885678833,0.012843828839368156,5463686.762295082,0.48760330578512395,0
Accenture,ACN,-0.1431397282265925,0.01900326924792773,3350886.081967213,0.512396694214876,0
Danaher Corporation,DHR,-0.14042034724337504,0.02338210023031261,4292121.721311475,0.5206611570247934,0
Eaton Corporation,ETN,0.07540065068080493,0.02846733439699725,3229377.2377049183,0.5041322314049587,0
Pfizer,PFE,-0.08906426155580616,0.016110432354835284,46294535.41803279,0.49586776859504134,0
Lowe's,LOW,-0.10166815126730899,0.016294562520815112,2660905.270491803,0.5206611570247934,0
Union Pacific Corporation,UNP,0.0041899441340782495,0.016634960894253457,3063069.819672131,0.5041322314049587,0
Blackstone Inc.,BX,-0.13910791366906472,0.02926618556888958,4351015.950819672,0.4462809917355372,0
Analog Devices,ADI,0.12618878637331443,0.03117080102591488,4104624.3032786883,0.5041322314049587,0
KKR,KKR,-0.10831825189355848,0.03542017438485408,5312630.155737705,0.5537190082644629,0
ConocoPhillips,COP,-0.1033173461231015,0.02552369214495366,8563970.631147541,0.5371900826446281,0
Prologis,PLD,0.008248609246115368,0.021223864601149188,4631966.680327869,0.5041322314049587,0
Dell Technologies,DELL,0.052089590663348506,0.03717631926895071,7839174.25409836,0.512396694214876,0
"Nike, Inc.",NKE,-0.03569974209311788,0.03132412849238039,18040957.04918033,0.45454545454545453,0
Moody's Corporation,MCO,0.06080280856103548,0.020602846196169956,807435.3852459016,0.4793388429752066,0
Sherwin-Williams,SHW,0.03061592027854476,0.016838280679297192,1756187.6721311475,0.4628099173553719,0
Aon,AON,0.005014367006591858,0.015270989463288514,1325467.1311475409,0.5041322314049587,0
Airbnb,ABNB,0.006540918770915782,0.02978566219245511,5502216.8852459015,0.48760330578512395,0
Apollo Global Management,APO,-0.1446400578801399,0.03217356130778345,3823371.5901639345,0.48760330578512395,0
U.S. Bancorp,USB,-0.054534057668198854,0.020681273187333482,10636452.950819673,0.512396694214876,0
Marriott International,MAR,-0.004518127163417818,0.021388143412158667,1795222.5,0.512396694214876,0
Illinois Tool Works,ITW,-0.011118665760108781,0.0165823408331143,1116715.6721311475,0.49586776859504134,0
United Parcel Service,UPS,-0.1851134253653024,0.022935077050875458,6092585.5,0.48760330578512395,0
Fiserv,FI,-0.16297698805709293,0.02979003644203318,4161578.475409836,0.5537190082644629,0
PayPal,PYPL,-0.13761893710837791,0.02651746334212974,11141133.516393442,0.5206611570247934,0
Autodesk,ADSK,0.05540024546570299,0.018345784879700455,1586357.1311475409,0.4793388429752066,0
Colgate-Palmolive,CL,0.003865267807841022,0.015143777172349049,5357749.073770491,0.5041322314049587,0
Regeneron Pharmaceuticals,REGN,-0.26592933346383485,0.030139015554946882,1156481.6311475409,0.49586776859504134,0
Sempra,SRE,-0.13037989211523016,0.02483251725083459,4884800.319672131,0.5206611570247934,0
EOG Resources,EOG,-0.040894876112581136,0.02163836900806521,3814825.8852459015,0.49586776859504134,0
Air Products,APD,-0.004341840516784989,0.0182576684889798,1409240.4590163934,0.512396694214876,0
Cummins,CMI,-0.05796059254997832,0.022767510651520884,866938.0163934426,0.512396694214876,0
Simon Property Group,SPG,-0.07358958105226765,0.020488397994395068,1681808.5327868853,0.48760330578512395,0
Truist Financial,TFC,-0.007846757442880103,0.021984880832886203,8837410.368852459,0.4793388429752066,0
Chipotle Mexican Grill,CMG,-0.06244782100517621,0.021811607605967842,12871321.155737706,0.4462809917355372,0
Datadog,DDOG,-0.06474970410081449,0.02732335653643749,5015638.959016394,0.5206611570247934,0
FedEx,FDX,-0.1712483593408195,0.024211787219418343,2000855.5163934426,0.48760330578512395,0
NXP Semiconductors,NXPI,0.05955094321322929,0.03551774512889445,3092030.5409836066,0.48760330578512395,0
Becton Dickinson,BDX,-0.23948077177800342,0.022551895740989102,2582182.1475409837,0.4793388429752066,0
