company_name,ticker,return_6m,volatility,avg_volume,up_ratio,cluster,early_return,mid_return,late_return
ServiceNow,NOW,-0.024906576626135823,0.0302944770198389,1717843.713114754,0.5206611570247934,0,-0.13660678718439967,0.04058095774150461,0.07651228782944686
Eaton Corporation,ETN,0.07540065068080493,0.02846733439699725,3229377.2377049183,0.5041322314049587,0,-0.16116399566212802,0.04107871928944906,0.21272548153684134
Autodesk,ADSK,0.05540024546570299,0.018345784879700455,1586357.1311475409,0.4793388429752066,0,-0.07258284467475806,0.020416557603858854,0.12878760255241573
"Block, Inc.",XYZ,-0.21694524495677225,0.04034730822264295,9108595.081967212,0.5619834710743802,0,-0.2761959654178674,0.0021874474171295066,0.16179237215666165
Public Service Enterprise Group,PEG,-0.0108108108108107,0.015218209806029493,2989381.6147540985,0.4793388429752066,0,-0.03924794359576955,0.002456700651025656,0.05317152508444889
Archer Daniels Midland,ADM,0.050975706889685446,0.020099509983145657,4166853.6639344264,0.4628099173553719,0,-0.07248108323377145,0.04277608031427316,0.10534031413612577
First Solar,FSLR,-0.11224325628787479,0.045079075093757706,3977667.0,0.512396694214876,0,-0.3155467367404945,0.0457974548502631,0.31568907963757753
Ulta Beauty,ULTA,0.09008295274489697,0.02758589445559176,960276.606557377,0.48760330578512395,0,-0.1871213533414111,0.1362643761828506,0.18243858052775264
Hubbell Incorporated,HUBB,-0.027572085049644035,0.02341591977264724,656492.8278688524,0.512396694214876,0,-0.15486083001976247,0.02183120611728584,0.12453879618921748
Jacobs Solutions,J,0.0035193794898806807,0.016670100693277495,869289.0081967213,0.4628099173553719,0,-0.056348242982235175,0.009694879453456373,0.075123706702654
Pentair,PNR,0.022509960159362352,0.021399561695218644,1498731.7213114754,0.47107438016528924,0,-0.08625498007968135,0.006802721088435382,0.13148903339578966
Ball Corporation,BALL,0.03030859662013241,0.017966339144351296,2755462.7213114756,0.48760330578512395,0,-0.042248346803820724,0.026650989613952625,0.07989988448209484
Align Technology,ALGN,-0.09189889203319102,0.026166189568277747,1055033.950819672,0.49586776859504134,0,-0.16019952995347497,0.046326818931010205,0.09249855741488755
