company_name,ticker,return_6m,volatility,avg_volume,up_ratio,cluster
Deckers Brands,DECK,-0.4960887845898113,0.040245799907762975,3315634.9426229508,0.4628099173553719,0
"The Trade Desk, Inc.",TTD,-0.3885160961522127,0.05140204886571244,9398777.00819672,0.5041322314049587,0
UnitedHealth Group,UNH,-0.37458652585491414,0.03516506148779693,11165179.155737706,0.5041322314049587,0
Lululemon Athletica,LULU,-0.3618758561413875,0.03423361680993747,2486708.1639344264,0.48760330578512395,0
Edison International,EIX,-0.3550806149231346,0.027721967998586974,4625698.352459016,0.512396694214876,0
Moderna,MRNA,-0.3430952380952381,0.04751133278356583,11253312.614754098,0.49586776859504134,0
West Pharmaceutical Services,WST,-0.3337190535643594,0.04134890202716179,885465.2786885246,0.47107438016528924,0
Dow Inc.,DOW,-0.33046776232616937,0.029911093059887192,9114025.926229509,0.4132231404958678,0
PG&E Corporation,PCG,-0.3033483258370815,0.022276547849165943,23092230.18852459,0.47107438016528924,0
Teradyne,TER,-0.2895069532237674,0.0369194175384187,3274297.8032786883,0.47107438016528924,0
Global Payments,GPN,-0.28471849865951737,0.02968589822598432,2929609.950819672,0.5041322314049587,0
Viatris,VTRS,-0.2809983896940419,0.025455886071453226,13984021.663934426,0.5041322314049587,0
Target Corporation,TGT,-0.28092426561702744,0.024467442007831307,7349629.762295082,0.47107438016528924,0
Bio-Techne,TECH,-0.2802182428651371,0.028590536229955808,2019878.5327868853,0.5041322314049587,0
BrownForman,BF.B,-0.27622377622377625,0.02744103171475008,3866271.401639344,0.45454545454545453,0
Campbell Soup Company,CPB,-0.27075898167975265,0.017310964017403986,3741144.081967213,0.4380165289256198,0
Constellation Brands,STZ,-0.269083883721975,0.0228932710859535,2513989.7786885244,0.4462809917355372,0
Regeneron Pharmaceuticals,REGN,-0.26592933346383485,0.030139015554946882,1156481.6311475409,0.49586776859504134,0
Halliburton,HAL,-0.26505589614136316,0.030542037460037263,13623269.549180327,0.47107438016528924,0
Albemarle Corporation,ALB,-0.2646955297430482,0.03740274552418405,3128726.5,0.4793388429752066,0
