Ticker,return_6m,volatility,early_return,mid_return,late_return,cluster,prev_cluster,label,pred_prob
A,18512.28491640763,5625.937842975817,-0.0691935518342972,-0.006657073876298547,19334.046673653134,0,0.0,0,0.0
AAPL,201039.23973266897,95420.40192113908,-0.07239585291036199,-0.020147921481626474,212552.47460898498,0,2.0,0,0.0
ABBV,38789.049165332835,12377.16439953041,0.26719060651571724,-0.08882014048683928,32897.468069161856,0,0.0,0,0.0
ABNB,41938.63157279916,14825.233107014872,-0.06725167732400172,0.08185688070448505,39337.68082115308,0,0.0,0,0.0
ABT,58816.00538964022,19021.91749031122,0.07488516595223116,0.0013430697451102258,53561.06049249543,0,0.0,0,0.0
ACGL,15128.923171889592,8019.473871067669,-0.05547540417184216,-0.047404021182210876,16375.116350312172,0,2.0,0,0.0
ACN,9598.105768730491,5152.889927757346,-0.1586038071650736,-0.054659469015923445,11472.539518900343,0,0.0,0,0.0
ADBE,6575.444787445509,3955.8035271646,-0.23434965320018186,-0.04460693696595708,8782.657546399385,0,2.0,0,0.0
ADI,19177.141769685342,6567.762700407181,-0.03166359722304701,0.11618078093415618,17067.097148252647,0,2.0,0,0.0
ADM,65354.07091276657,25999.06305124638,-0.1096030057370816,0.20948651357380177,59240.25066314089,2,0.0,0,0.0
ADP,6961.244259255831,2223.715936961279,-0.006966764796497493,0.03412748663782472,6705.355034480028,0,0.0,0,0.0
ADSK,5052.137102081783,1982.2071380392551,-0.1311040463046803,0.12146957862136687,5046.288461660727,0,0.0,0,0.0
AEE,21742.3630105464,6126.062179382213,0.07838107963680496,0.008465700504038498,19336.942870650735,0,2.0,0,0.0
AEP,33476.91355517518,11863.635912712372,0.09209849090158628,0.030110606157264685,28770.45029648928,0,2.0,0,0.0
AES,613418.7236216723,508875.9596584344,-0.057331082282322865,0.07742886791414905,582194.8069078514,0,2.0,0,0.0
AFL,20540.837553170728,7473.98852098573,-0.033227344801527,-0.049272841526542654,21965.990256794772,0,2.0,0,0.0
AIG,32428.638984707693,20832.42971344462,0.09353148890878304,-0.04834848859479901,30059.86583098817,0,0.0,0,0.0
AIZ,947.6488896915931,1050.6380834248507,-0.06399633555440998,-0.1115540191078549,1098.1502144162685,0,0.0,0,0.0
AJG,6230.672923595403,2030.3450141912874,0.12860587756501451,-0.07062126622056031,5798.125832777276,0,2.0,0,0.0
AKAM,42829.38668232189,13596.976705544608,-0.06642623482186705,-0.00908864996820613,45379.255449779295,0,0.0,0,0.0
