Ticker,return_6m,volatility,avg_volume,up_ratio,early_return,mid_return,late_return,cluster
A,0.3219571513693775,0.01812860915855814,1792173.6434108526,0.5625,0.019269092857018277,0.09307321594531337,0.1609440498817638,1
AAPL,0.28565685901162197,0.014233250423251952,53353252.71317829,0.5390625,-0.01021998809738478,0.13522652753161934,0.14094340096531766,2
ABBV,0.3303454035736346,0.014099046185986256,5758584.496124031,0.5546875,0.08332991165069825,0.12988508174487,0.05989360099803531,1
ABNB,-0.1122590079866358,0.016195719056757443,4838929.457364341,0.5078125,-0.005383704989485372,-0.1266331586733288,-0.009577924792250836,3
ABT,0.024887177752297207,0.013205821450038508,6171043.4108527135,0.546875,0.02933540106759769,0.1016512672140939,-0.02235448372511062,1
ACGL,0.018381928420406313,0.014133062740697427,2139895.3488372094,0.5078125,-0.01959272217053376,-0.014437247415075904,0.059187158091101866,3
ACN,-0.2308717303602411,0.016818367293549283,4222258.139534884,0.4765625,-0.12278411317527627,-0.16232760051963013,0.016456645375161782,3
ADBE,-0.17112678213694554,0.01671717092566737,4006065.891472868,0.484375,-0.09437507720686733,-0.03744030771911089,-0.08550838607554945,3
ADI,0.044408075846122275,0.016376130871102255,3534393.023255814,0.515625,0.06562685071812857,0.016995487412300392,-0.0464030837719388,3
ADM,0.20866209962073823,0.016477427439307468,3626055.03875969,0.46875,0.10412230660494681,0.17454001246926865,-0.04059583460536742,3
ADP,-0.17366693466289207,0.011426355477473386,1735046.511627907,0.4765625,-0.0246911907292503,-0.039489322107365665,-0.12349784818046528,3
ADSK,0.013027021696558005,0.01638288847197015,1534835.6589147288,0.5078125,-0.020538699156517515,0.09019032644177427,-0.06229636747339251,3
AEE,0.12156322592052127,0.008741266732145089,1587879.8449612404,0.5546875,0.026967191142333924,0.02040347879111959,0.06112958823625547,1
AEP,0.250273287813805,0.010904537600754821,3221017.8294573645,0.5078125,0.06998684459582138,0.01690608989135267,0.13705799905968874,1
AES,0.13303150580557332,0.03357414577375078,13295752.713178294,0.5,0.03993615257080485,-0.024087696984171236,0.1187605540116421,0
AFL,0.11259487396796475,0.0106901144654287,2324822.480620155,0.5390625,-0.018285600849347494,0.06702036654794274,0.04678195389465456,1
AIG,-0.03994124439451008,0.013533271349692436,4252331.007751938,0.5,-0.005775888552765451,-0.05187574140046525,0.01236975143870711,3
AIZ,0.17350349237921336,0.01657821407714392,440188.37209302327,0.5859375,-0.05001175393365109,0.0963690802740036,0.09112170089685279,1
AJG,-0.21251921440228394,0.015275320680675617,1484405.4263565892,0.4921875,-0.05795654047330534,-0.06950279196093734,-0.11668828493528027,3
AKAM,0.12462902549965849,0.020784772059302552,2245619.379844961,0.53125,-0.006063749293633847,-0.019889683635159305,0.14939349127307477,1
ALB,0.9076620637650288,0.03938077323138875,3998503.100775194,0.5703125,0.1602714958380107,0.07445415508342723,0.4363771722739287,0
ALGN,-0.2692245705136599,0.03897142828448203,1302975.1937984496,0.515625,0.01380235374858807,-0.3144015998594353,0.05940978288290211,0
ALL,0.07880245899731597,0.015152184257503991,1459650.3875968992,0.515625,-0.02006709386973604,0.02200882656903258,0.08643854525605987,3
ALLE,0.14718760635119144,0.013680940853977325,884126.3565891472,0.5546875,0.039191950771916284,0.15312964693390074,-0.08697129583414587,1
AMAT,0.3052845647746032,0.025526148209087125,7789162.015503876,0.5390625,0.1218785682239798,-0.0960036906642775,0.2687923893311661,0
AMCR,-0.06319051045596635,0.016196097211291918,25060525.58139535,0.5,0.04507291099285582,-0.11777075274484705,0.024154567115350467,3
AMD,1.0965850747475856,0.03772023717401816,56762641.08527132,0.5390625,0.3598369025747328,0.0003117202831262045,0.5507036433761459,2
AME,0.08168089867998152,0.012615115302741002,1296463.5658914729,0.4609375,-0.011175882008389482,0.043829534215197086,0.03817449992135091,3
AMGN,0.305748702066883,0.01730041586414355,2455236.434108527,0.53125,0.15015458755292999,-0.07696464726277363,0.225801757157567,1
AMP,-0.11617575540641945,0.013226007720123134,496486.0465116279,0.5078125,0.006076748677391608,-0.09657696521306114,-0.05466477789565971,3
AMT,-0.08720766548815007,0.012800796504280305,2587622.480620155,0.484375,0.10082123402305743,-0.12692789768094992,-0.06090475621815994,3
AMZN,0.11624257998290721,0.019094761762825496,44130954.26356589,0.5546875,0.06154579044664099,0.04542611196684887,0.01325450042715648,1
ANET,0.33750756958346395,0.03169205513380843,9083477.519379845,0.59375,0.10262677362836348,0.2695124075767148,-0.08029964656097177,0
AON,-0.0038474919584526868,0.01292077999363274,1269220.1550387596,0.5,0.0066435288672164194,0.007580773596265855,-0.021983226584322613,3
